Continent,ISO3v10,Country,ProjectRegion,<100K_num_ctry,100-500K_num_ctry,500K-1mil_num_ctry,1-5mil_num_ctry,5mil+_num_ctry,Total_num_ctry,<100K_00p_ctry,100-500K_00p_ctry,500K-1mil_00p_ctry,1-5mil_00p_ctry,5mil+_00p_ctry,Total_00p_ctry,<100K_km_ctry,100-500K_km_ctry,500K-1mil_km_ctry,1-5mil_km_ctry,5mil+_km_ctry,Total_km_ctry,<100K_num_lecz,100-500K_num_lecz,500K-1mil_num_lecz,1-5mil_num_lecz,5mil+_num_lecz,Total_num_lecz,<100K_00p_lecz,100-500K_00p_lecz,500K-1mil_00p_lecz,1-5mil_00p_lecz,5mil+_00p_lecz,Total_00p_lecz,<100K_km_lecz,100-500K_km_lecz,500K-1mil_km_lecz,1-5mil_km_lecz,5mil+_km_lecz,Total_km_lecz
Africa,AGO,Angola,Africa,0,4,0,2,0,6,0,"1,088,308",0,"3,100,470",0,"4,188,778",0,324,0,702,0,"1,025",0,2,0,1,0,3,0,"154,190",0,"245,068",0,"399,258",0,74,0,68,0,142
Africa,BDI,Burundi,Africa,14,1,0,0,0,15,"338,432","225,924",0,0,0,"564,356",427,138,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,BEN,Benin,Africa,32,3,1,0,0,36,"793,090","650,521","966,152",0,0,"2,409,763",935,304,195,0,0,"1,433",3,1,1,0,0,5,"29,402","67,680","919,787",0,0,"1,016,869",34,9,166,0,0,210
Africa,BFA,Burkina Faso,Africa,92,0,1,0,0,93,"680,938",0,"772,535",0,0,"1,453,473","2,629",0,370,0,0,"2,999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,BWA,Botswana,Africa,27,1,0,0,0,28,"476,752","136,095",0,0,0,"612,847","1,695",392,0,0,0,"2,086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,CAF,Central African Republic,Africa,30,0,1,0,0,31,"706,231",0,"695,677",0,0,"1,401,908","1,040",0,249,0,0,"1,288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,CIV,Ivory Coast,Africa,57,8,1,1,0,67,"1,861,540","1,240,064","512,550","3,029,364",0,"6,643,518","1,784",800,229,661,0,"3,473",5,1,0,1,0,7,"114,114","40,328",0,"827,199",0,"981,641",60,29,0,151,0,240
Africa,CMR,Cameroon,Africa,97,2,0,2,0,101,"2,569,849","300,495",0,"3,483,283",0,"6,353,627","3,161",196,0,735,0,"4,092",2,0,0,1,0,3,"2,518",0,0,"429,377",0,"431,895",3,0,0,102,0,104
Africa,COD,"Congo, Democratic Republic",Africa,122,23,2,1,0,148,"4,095,808","4,175,562","1,877,382","4,892,491",0,"15,041,243","4,237","1,659",390,575,0,"6,861",1,1,0,0,0,2,"6,059","7,613",0,0,0,"13,672",65,3,0,0,0,68
Africa,COG,Congo,Africa,19,0,2,0,0,21,"501,299",0,"1,429,822",0,0,"1,931,121",656,0,537,0,0,"1,193",0,0,1,0,0,1,0,0,"72,818",0,0,"72,818",0,0,28,0,0,28
