CharacterString,CI_ResponsibleParty_Id
"CIESIN Metadata Services",0
"McGranahan, G., Balk , D. and Anderson, B.",1
"Socioeconomic Data and Applications Center (SEDAC), Columbia University",2
"http://www.isotc211.org/scXML",3
"McGranahan, G., Balk , D. and  Anderson, B.",4
"International Institute for Environment and Development (IIED)",5
"http://www.isotc211.org/scXML",6
