CharacterString,CI_Address_Id
"61 Route 9W

PO Box 1000",0
"CIESIN, Columbia University, 61 Route 9W, P.O. Box 1000",1
"CIESIN, Columbia University, 61 Route 9W, P.O. Box 1000",2
